Rodada,Mandante,Gols_Casa,Gols_Fora,Visitante,Data
12,Deportivo Riestra,1,1,San Lorenzo,25/03/2026
12,Huracan,0,0,Barracas Central,23/03/2026
12,Estudiantes,5,0,Central Cordoba,23/03/2026
12,Argentinos Juniors,1,0,Platense,22/03/2026
12,Independiente Rivadavia,2,0,Rosario Central,22/03/2026
12,Boca Juniors,2,0,Instituto,22/03/2026
12,Estudiantes Rio Cuarto,0,2,River Plate,22/03/2026
12,Sarmiento Junin,2,0,Aldosivi,22/03/2026
12,Belgrano,1,2,Racing Club,21/03/2026
12,Independiente,1,2,Talleres Cordoba,21/03/2026
12,Newells Old Boys,1,0,Gimnasia Mendoza,21/03/2026
12,Defensa y Justicia,2,0,Union Santa Fe,21/03/2026
12,Velez Sarsfield,0,1,Lanus,21/03/2026
