Rodada,Mandante,Gols_Casa,Gols_Fora,Visitante,Data
Rodada 1,Sao Paulo,2,1,Flamengo RJ,28.01
Rodada 1,Chapecoense-SC,4,2,Santos,28.01
Rodada 1,Corinthians,1,2,Bahia,28.01
Rodada 1,Fluminense,2,1,Gremio,28.01
Rodada 1,Atletico-MG,2,2,Palmeiras,28.01
Rodada 1,Coritiba,0,1,Bragantino,28.01
Rodada 1,Internacional,0,1,Athletico-PR,28.01
Rodada 1,Vitoria,2,0,Remo,28.01
Rodada 1,Botafogo RJ,4,0,Cruzeiro,29.01
Rodada 1,Mirassol,2,1,Vasco,29.01
Rodada 2,Bragantino,1,0,Atletico-MG,04.02
Rodada 2,Flamengo RJ,1,1,Internacional,04.02
Rodada 2,Gremio,5,3,Botafogo RJ,04.02
Rodada 2,Palmeiras,5,1,Vitoria,04.02
Rodada 2,Remo,2,2,Mirassol,04.02
Rodada 2,Santos,1,1,Sao Paulo,04.02
Rodada 2,Cruzeiro,1,2,Coritiba,05.02
Rodada 2,Vasco,1,1,Chapecoense-SC,05.02
Rodada 2,Bahia,1,1,Fluminense,05.02
Rodada 2,Athletico-PR,0,1,Corinthians,19.02
Rodada 3,Vitoria,1,2,Flamengo RJ,10.02
Rodada 3,Sao Paulo,2,0,Gremio,11.02
Rodada 3,Vasco,0,1,Bahia,11.02
Rodada 3,Atletico-MG,3,3,Remo,11.02
Rodada 3,Chapecoense-SC,3,3,Coritiba,11.02
Rodada 3,Mirassol,2,2,Cruzeiro,11.02
Rodada 3,Internacional,1,3,Palmeiras,12.02
Rodada 3,Corinthians,2,0,Bragantino,12.02
Rodada 3,Fluminense,1,0,Botafogo RJ,12.02
Rodada 3,Athletico-PR,2,1,Santos,12.02
Rodada 4,Coritiba,0,1,Sao Paulo,25.02
Rodada 4,Cruzeiro,1,1,Corinthians,25.02
Rodada 4,Gremio,2,1,Atletico-MG,25.02
Rodada 4,Palmeiras,2,1,Fluminense,25.02
Rodada 4,Bragantino,1,1,Athletico-PR,25.02
Rodada 4,Remo,1,1,Internacional,25.02
Rodada 4,Santos,2,1,Vasco,26.02
Rodada 5,Mirassol,2,2,Santos,10.03
Rodada 5,Atletico-MG,1,0,Internacional,11.03
Rodada 5,Bahia,1,1,Vitoria,11.03
Rodada 5,Corinthians,0,2,Coritiba,11.03
Rodada 5,Flamengo RJ,2,0,Cruzeiro,11.03
Rodada 5,Gremio,1,1,Bragantino,12.03
Rodada 5,Remo,0,2,Fluminense,12.03
Rodada 5,Sao Paulo,2,0,Chapecoense-SC,12.03
Rodada 5,Vasco,2,1,Palmeiras,12.03
Rodada 5,Athletico-PR,4,1,Botafogo RJ,29.03
Rodada 6,Botafogo RJ,0,3,Flamengo RJ,14.03
Rodada 6,Vitoria,2,0,Atletico-MG,14.03
Rodada 6,Bragantino,1,2,Sao Paulo,15.03
Rodada 6,Cruzeiro,3,3,Vasco,15.03
Rodada 6,Coritiba,1,0,Remo,15.03
Rodada 6,Palmeiras,1,0,Mirassol,15.03
Rodada 6,Fluminense,3,2,Athletico-PR,15.03
Rodada 6,Internacional,0,1,Bahia,15.03
Rodada 6,Santos,1,1,Corinthians,15.03
Rodada 6,Chapecoense-SC,1,1,Gremio,16.03
Rodada 7,Bahia,2,0,Bragantino,18.03
Rodada 7,Palmeiras,2,1,Botafogo RJ,18.03
Rodada 7,Athletico-PR,2,1,Cruzeiro,18.03
Rodada 7,Mirassol,0,1,Coritiba,18.03
Rodada 7,Atletico-MG,1,0,Sao Paulo,18.03
Rodada 7,Vasco,3,2,Fluminense,18.03
Rodada 7,Santos,1,2,Internacional,18.03
Rodada 7,Flamengo RJ,3,0,Remo,19.03
Rodada 7,Gremio,2,0,Vitoria,19.03
Rodada 7,Chapecoense-SC,0,0,Corinthians,19.03
Rodada 8,Sao Paulo,0,1,Palmeiras,21.03
Rodada 8,Fluminense,1,0,Atletico-MG,21.03
Rodada 8,Bragantino,1,2,Botafogo RJ,21.03
Rodada 8,Corinthians,1,1,Flamengo RJ,22.03
Rodada 8,Internacional,2,0,Chapecoense-SC,22.03
Rodada 8,Vitoria,1,0,Mirassol,22.03
Rodada 8,Athletico-PR,2,0,Coritiba,22.03
Rodada 8,Cruzeiro,0,0,Santos,22.03
Rodada 8,Remo,4,1,Bahia,22.03
Rodada 8,Vasco,2,1,Gremio,22.03
Rodada 9,Botafogo RJ,3,2,Mirassol,01.04
Rodada 9,Internacional,1,1,Sao Paulo,01.04
Rodada 9,Bahia,3,0,Athletico-PR,01.04
Rodada 9,Cruzeiro,3,0,Vitoria,01.04
Rodada 9,Coritiba,1,1,Vasco,01.04
Rodada 9,Fluminense,3,1,Corinthians,01.04
Rodada 9,Chapecoense-SC,0,4,Atletico-MG,02.04
Rodada 9,Santos,2,0,Remo,02.04
Rodada 9,Palmeiras,2,1,Gremio,02.04
Rodada 9,Bragantino,3,0,Flamengo RJ,02.04
