Rodada,Data,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Odd_1,Odd_X,Odd_2,Vencedor
Pré-Rodada,24.01,Barracas Central,0,1,River Plate,5.75,3.30,1.68,Visitante
Pré-Rodada,23.01,Talleres Córdoba,2,1,Newell's Old Boys,1.79,3.30,5.00,Mandante
Pré-Rodada,23.01,Ind. Rivadavia,2,1,Atl. Tucuman,1.68,3.30,5.75,Mandante
Pré-Rodada,23.01,Independiente,1,1,Estudiantes,2.45,2.65,3.50,Empate
Pré-Rodada,23.01,San Lorenzo,2,3,Lanús,2.75,2.57,3.10,Visitante
Pré-Rodada,22.01,Instituto,0,1,Vélez Sarsfield,2.65,2.75,3.00,Visitante
Pré-Rodada,22.01,Central Córdoba,0,1,Gimnasia Mendoza,2.35,2.75,3.30,Visitante
Pré-Rodada,22.01,Union Santa Fe,0,0,Platense,1.91,2.82,5.25,Empate
Pré-Rodada,22.01,Banfield,1,1,Huracán,2.40,2.57,3.75,Empate
Pré-Rodada,22.01,Aldosivi,0,0,Defensa y Justicia,2.65,2.57,3.30,Empate
Pré-Rodada,27.01,Gimnasia Mendoza,0,1,San Lorenzo,3.80,2.70,2.30,Visitante
Pré-Rodada,27.01,Huracán,1,2,Ind. Rivadavia,2.05,2.75,4.75,Visitante
Pré-Rodada,27.01,Vélez Sarsfield,2,1,Talleres Córdoba,2.30,2.75,3.80,Mandante
Pré-Rodada,26.01,Platense,2,1,Instituto,2.45,2.57,3.70,Mandante
Rodada 1,25.01,Tigre,2,0,Estudiantes Rio Cuarto,1.91,3.00,4.75,Mandante
Rodada 1,25.01,Argentinos Juniors,1,0,Sarmiento Junin,1.35,4.10,11.00,Mandante
Rodada 1,25.01,Boca Juniors,1,0,Dep. Riestra,1.61,3.40,6.50,Mandante
Rodada 1,24.01,Rosario Central,1,2,Belgrano,1.86,3.10,4.50,Visitante
Rodada 1,24.01,Gimnasia L.P.,2,1,Racing Club,3.75,3.10,2.10,Mandante
Rodada 1,29.01,Estudiantes Rio Cuarto,0,0,Argentinos Juniors,5.75,3.10,1.71,Empate
Rodada 1,29.01,Lanús,2,1,Union Santa Fe,2.05,2.82,4.33,Mandante
Rodada 1,29.01,Belgrano,1,1,Tigre,1.96,3.00,4.75,Empate
Rodada 1,29.01,Dep. Riestra,0,1,Defensa y Justicia,2.10,2.82,4.10,Visitante
