Rodada,Data,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Odd_1,Odd_X,Odd_2,Vencedor
Rodada 6,21.03,Chaco For Ever,1,1,Godoy Cruz,2.75,2.65,2.85,Empate
Rodada 6,21.03,Ferro,0,2,Los Andes,1.91,2.70,5.25,Visitante
Rodada 6,21.03,Deportivo Madryn,3,0,CA Estudiantes,2.30,2.70,3.60,Mandante
Rodada 6,21.03,Tristan Suarez,3,0,Gimnasia Jujuy,2.25,2.70,3.75,Mandante
Rodada 6,21.03,Ciudad Bolivar,0,0,Almirante Brown,2.40,2.25,4.50,Empate
Rodada 6,21.03,San Miguel,1,2,Racing Cordoba,2.01,2.75,4.75,Visitante
Rodada 6,21.03,Acassuso,0,3,Deportivo Moron,3.30,2.65,2.50,Visitante
Rodada 6,21.03,Def. de Belgrano,0,0,CA Mitre,1.96,2.75,4.75,Empate
Rodada 6,21.03,Almagro,1,0,Quilmes,2.55,2.65,3.25,Mandante
Rodada 5,16.03,Atletico Atlanta,3,1,Deportivo Maipu,2.01,2.70,4.50,Mandante
Rodada 5,15.03,San Martin Tucuman,2,0,Nueva Chicago,1.79,2.82,6.00,Mandante
Rodada 5,15.03,CA Mitre,1,1,Ciudad Bolivar,1.96,2.75,4.75,Empate
Rodada 5,15.03,Gimnasia Jujuy,2,1,Colegiales,1.51,3.40,8.00,Mandante
Rodada 5,15.03,Midland,1,1,Almagro,1.86,2.85,5.00,Empate
Rodada 5,15.03,Gimnasia y Tiro,0,0,Temperley,1.71,3.00,6.00,Empate
Rodada 5,15.03,Agropecuario,2,0,Chacarita Juniors,2.01,3.00,4.10,Mandante
Rodada 5,14.03,Colon,1,0,Acassuso,1.96,3.10,4.00,Mandante
Rodada 5,14.03,Quilmes,3,0,Patronato,2.15,2.70,3.80,Mandante
Rodada 5,14.03,Tristan Suarez,1,1,Club A. Guemes,2.15,2.70,3.60,Empate
Rodada 5,14.03,Godoy Cruz,2,1,Ferro,1.91,3.00,4.75,Mandante
Rodada 5,14.03,CA Estudiantes,0,2,Def. de Belgrano,2.15,2.65,4.10,Visitante
Rodada 5,14.03,All Boys,1,0,Deportivo Madryn,2.05,2.65,4.50,Mandante
Rodada 5,14.03,Deportivo Moron,3,2,Chaco For Ever,1.76,2.85,6.25,Mandante
Rodada 5,14.03,San Miguel,1,1,San Telmo,1.71,3.10,5.25,Empate
Rodada 5,14.03,Los Andes,0,0,Central Norte,2.01,2.75,4.33,Empate
Rodada 5,13.03,Racing Cordoba,2,1,Almirante Brown,2.15,2.55,4.50,Mandante
Rodada 5,13.03,Atl. Rafaela,1,0,San Martin,2.25,2.65,3.75,Mandante
Rodada 3,02.03,Atletico Atlanta,0,0,Patronato,1.68,3.30,5.25,Empate
Rodada 3,01.03,CA Estudiantes,0,1,Almirante Brown,2.10,2.65,4.50,Visitante
Rodada 3,01.03,Atl. Rafaela,1,0,Temperley,2.32,2.57,3.80,Mandante
Rodada 3,01.03,Tristan Suarez,2,1,San Martin,2.40,2.45,3.75,Mandante
Rodada 3,01.03,Racing Cordoba,0,0,CA Mitre,1.91,2.82,4.75,Empate
Rodada 3,01.03,San Martin Tucuman,2,2,Deportivo Maipu,1.96,2.85,4.33,Empate
Rodada 3,01.03,All Boys,0,0,Ciudad Bolivar,2.10,2.82,4.00,Empate
Rodada 3,01.03,Godoy Cruz,0,0,Deportivo Madryn,1.86,3.00,4.75,Empate
Rodada 3,01.03,Deportivo Moron,2,0,Central Norte,1.71,3.10,5.75,Mandante
Rodada 3,01.03,San Telmo,2,3,Acassuso,2.50,2.75,3.10,Visitante
Rodada 3,01.03,Gimnasia Jujuy,1,0,Quilmes,1.66,3.10,6.50,Mandante
Rodada 3,01.03,Midland,2,0,Colegiales,1.68,3.10,5.75,Mandante
Rodada 3,01.03,Club A. Guemes,2,1,Chacarita Juniors,2.01,2.57,5.00,Mandante
Rodada 3,28.02,Colon,1,1,Ferro,2.30,2.57,3.90,Empate
Rodada 3,28.02,Agropecuario,0,2,Nueva Chicago,1.76,3.10,5.50,Visitante
Rodada 3,28.02,Los Andes,0,1,Def. de Belgrano,2.55,2.45,3.50,Visitante
Rodada 3,28.02,San Miguel,2,0,Chaco For Ever,2.05,2.85,4.20,Mandante
Rodada 3,27.02,Gimnasia y Tiro,2,0,Almagro,1.79,2.75,6.25,Mandante
Rodada 2,23.02,CA Mitre,1,0,CA Estudiantes,2.57,2.82,3.00,Mandante
Rodada 2,22.02,Temperley,1,0,Agropecuario,2.25,2.82,3.50,Mandante
Rodada 2,22.02,Colegiales,1,0,Atletico Atlanta,3.40,2.65,2.50,Mandante
Rodada 2,22.02,Central Norte,0,0,Colon,2.25,2.82,3.60,Empate
Rodada 2,22.02,Def. de Belgrano,1,1,Godoy Cruz,2.57,3.00,2.85,Empate
Rodada 2,22.02,Ciudad Bolivar,1,1,Los Andes,2.20,2.85,3.70,Empate
Rodada 2,22.02,Almirante Brown,2,1,All Boys,2.45,2.65,3.40,Mandante
Rodada 2,22.02,Chacarita Juniors,3,1,Gimnasia Jujuy,2.45,2.75,3.25,Mandante
Rodada 2,21.02,Chaco For Ever,2,2,San Telmo,1.76,3.00,5.75,Empate
Rodada 2,21.02,San Martin,2,1,Club A. Guemes,1.91,2.75,5.25,Mandante
Rodada 2,21.02,Deportivo Maipu,2,1,Atl. Rafaela,2.25,2.65,3.90,Mandante
Rodada 2,21.02,Patronato,1,2,Gimnasia y Tiro,2.40,2.75,3.30,Visitante
Rodada 2,21.02,Quilmes,0,0,Midland,2.25,3.00,3.25,Empate
Rodada 2,21.02,Ferro,1,1,San Miguel,2.40,2.40,4.00,Empate
Rodada 2,21.02,Deportivo Madryn,1,1,Deportivo Moron,2.10,2.57,4.50,Empate
Rodada 2,21.02,Acassuso,3,0,Racing Cordoba,2.82,2.65,3.00,Mandante
Rodada 2,21.02,Nueva Chicago,0,0,Tristan Suarez,2.25,2.70,3.70,Empate
Rodada 2,21.02,Almagro,0,1,San Martin Tucuman,2.70,2.57,3.10,Visitante
Rodada 1,16.02,Gimnasia Jujuy,2,1,Midland,1.91,2.85,4.50,Mandante
