Rodada,Data,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Odd_1,Odd_X,Odd_2,Vencedor
Sem. 3,21.03,Orange County SC,1,0,Colorado Springs,2.87,3.15,2.30,Mandante
Sem. 3,21.03,Phoenix Rising,2,2,Oakland Roots,2.15,3.25,3.05,Empate
Sem. 3,21.03,Sacramento Republic,1,1,Monterey Bay,1.50,3.75,6.00,Empate
Sem. 3,21.03,San Antonio,1,0,New Mexico,2.37,2.92,2.95,Mandante
Sem. 3,21.03,FC Tulsa,3,2,Las Vegas Lights,1.65,3.45,4.90,Mandante
Sem. 3,21.03,Tampa Bay,3,0,Pittsburgh,2.37,3.20,2.72,Mandante
Sem. 3,21.03,Indy Eleven,2,1,Detroit,2.35,3.30,2.70,Mandante
Sem. 3,21.03,Brooklyn,1,2,Hartford Athletic,3.05,3.35,2.12,Visitante
Sem. 3,21.03,Charleston,3,2,Birmingham,1.50,3.85,5.70,Mandante
Sem. 3,21.03,Louisville City,4,2,Rhode Island,1.60,3.60,5.20,Mandante
Sem. 3,21.03,Loudoun,0,0,Miami FC,1.72,3.75,3.95,Empate
Sem. 2,14.03,Oakland Roots,2,1,New Mexico,2.30,3.25,2.82,Mandante
Sem. 2,14.03,Phoenix Rising,1,1,Orange County SC,1.98,3.10,3.65,Empate
Sem. 2,14.03,Monterey Bay,0,3,El Paso,2.67,3.10,2.50,Visitante
Sem. 2,14.03,FC Tulsa,0,0,San Antonio,2.02,3.30,3.35,Empate
Sem. 2,14.03,Lexington,0,0,Sacramento Republic,2.35,3.20,2.75,Empate
Sem. 2,14.03,Colorado Springs,3,2,Las Vegas Lights,1.78,3.35,4.20,Mandante
Sem. 2,14.03,Detroit,3,0,Brooklyn,1.67,3.60,4.45,Mandante
Sem. 2,14.03,Louisville City,4,1,Miami FC,1.29,4.50,10.00,Mandante
Sem. 2,14.03,Rhode Island,1,1,Sporting Jax,1.60,3.70,4.90,Empate
Sem. 2,14.03,Loudoun,2,3,Pittsburgh,2.55,3.15,2.57,Visitante
Sem. 2,11.03,Birmingham,0,0,Hartford Athletic,2.57,3.40,2.40,Empate
Sem. 1,08.03,Brooklyn,1,0,Indy Eleven,2.10,3.45,3.00,Mandante
Sem. 1,08.03,Monterey Bay,0,1,Oakland Roots,2.67,3.20,2.52,Visitante
Sem. 1,08.03,Sacramento Republic,2,0,FC Tulsa,2.05,2.87,4.15,Mandante
Sem. 1,08.03,Orange County SC,1,1,Las Vegas Lights,2.05,3.35,3.45,Empate
Sem. 1,07.03,El Paso,2,2,Colorado Springs,2.42,3.30,2.75,Empate
Sem. 1,07.03,San Antonio,2,1,Phoenix Rising,2.40,2.85,3.20,Mandante
Sem. 1,07.03,Birmingham,0,1,Tampa Bay,2.82,3.65,2.20,Visitante
Sem. 1,07.03,Sporting Jax,0,3,Hartford Athletic,2.27,3.20,3.05,Visitante
Sem. 1,07.03,Charleston,2,1,Pittsburgh,1.95,3.15,4.00,Mandante
Sem. 1,06.03,Lexington,1,2,Louisville City,3.00,3.40,2.20,Visitante
