Rodada,Data,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Odd_1,Odd_X,Odd_2,Vencedor
Rodada 6,21.03,LDU Quito,1,0,Manta,1.19,5.00,11.00,Mandante
Rodada 6,21.03,Dep. Cuenca,1,1,Macara,2.10,3.00,3.50,Empate
Rodada 6,21.03,Delfin,0,0,Libertad,2.05,3.10,3.40,Empate
Rodada 5,19.03,Emelec,2,0,Ind. del Valle,3.30,3.10,2.15,Mandante
Rodada 5,19.03,Orense,3,2,Mushuc Runa,1.81,3.40,4.10,Mandante
Rodada 5,19.03,Aucas,0,1,Técnico U.,1.86,3.20,4.33,Visitante
Rodada 5,18.03,Libertad,0,0,Barcelona,3.10,3.10,2.25,Empate
Rodada 5,18.03,Manta,0,1,Guayaquil City,2.55,3.50,2.55,Visitante
Rodada 5,18.03,Macara,1,0,Delfin,1.66,3.40,5.25,Mandante
Rodada 5,17.03,Leones del Norte,0,2,LDU Quito,4.75,3.10,1.79,Visitante
Rodada 5,17.03,Universidad Católica,1,0,Dep. Cuenca,1.56,3.50,6.00,Mandante
Rodada 4,15.03,Guayaquil City,0,0,Barcelona,3.80,3.20,1.91,Empate
Rodada 4,15.03,Emelec,2,1,Orense,2.01,3.30,3.50,Mandante
Rodada 4,15.03,Mushuc Runa,0,0,Macara,2.32,3.10,2.85,Empate
Rodada 4,14.03,LDU Quito,1,1,Universidad Católica,1.91,3.70,3.30,Empate
Rodada 4,14.03,Delfin,0,1,Manta,2.32,3.00,3.00,Visitante
Rodada 4,14.03,Ind. del Valle,2,2,Aucas,1.61,3.50,5.25,Empate
Rodada 4,13.03,Dep. Cuenca,1,1,Leones del Norte,1.71,3.10,5.00,Empate
Rodada 4,13.03,Técnico U.,2,1,Libertad,2.05,3.30,3.30,Mandante
Rodada 3,09.03,Orense,1,1,Manta,1.61,3.75,4.75,Empate
Rodada 3,08.03,Universidad Católica,3,0,Leones del Norte,1.61,3.50,5.50,Mandante
Rodada 3,08.03,Macara,1,1,Técnico U.,1.96,3.00,4.10,Empate
Rodada 3,08.03,Aucas,0,1,Dep. Cuenca,2.15,3.10,3.25,Visitante
Rodada 3,07.03,Libertad,2,1,LDU Quito,4.20,3.80,1.71,Mandante
Rodada 3,07.03,Barcelona,1,0,Emelec,1.96,2.70,4.50,Mandante
Rodada 3,07.03,Ind. del Valle,3,1,Mushuc Runa,1.35,4.33,8.00,Mandante
Rodada 3,06.03,Delfin,1,0,Guayaquil City,1.86,3.10,4.20,Mandante
Rodada 2,02.03,Manta,0,2,Ind. del Valle,8.00,4.20,1.35,Visitante
Rodada 2,01.03,Dep. Cuenca,2,1,Barcelona,1.76,3.30,4.50,Mandante
Rodada 2,01.03,Mushuc Runa,0,0,Universidad Católica,3.10,3.40,2.10,Empate
Rodada 2,01.03,LDU Quito,0,2,Macara,1.49,3.80,6.25,Visitante
Rodada 2,28.02,Emelec,1,1,Delfin,1.71,3.50,4.50,Empate
Rodada 2,28.02,Guayaquil City,1,1,Aucas,2.30,3.30,2.85,Empate
Rodada 2,28.02,Leones del Norte,1,1,Libertad,2.10,3.20,3.20,Empate
Rodada 2,27.02,Técnico U.,1,1,Orense,2.25,2.82,3.40,Empate
Rodada 1,23.02,Libertad,1,0,Manta,1.86,3.40,3.75,Mandante
Rodada 1,22.02,Ind. del Valle,2,0,Guayaquil City,1.19,5.50,13.00,Mandante
Rodada 1,22.02,Delfin,1,0,Dep. Cuenca,2.45,3.25,2.57,Mandante
Rodada 1,22.02,Macara,0,0,Leones del Norte,1.79,3.25,3.90,Empate
Rodada 1,21.02,Barcelona,1,0,Técnico U.,1.33,4.50,9.50,Mandante
Rodada 1,21.02,Aucas,1,1,Mushuc Runa,2.05,3.10,3.60,Empate
Rodada 1,20.02,Orense,1,2,LDU Quito,2.70,3.10,2.45,Visitante
