jogo_id,data,mandante,visitante,gols_mandante,gols_visitante,observacoes
J025,2025,Independiente del Valle,Tecnico Universitario,4,0,
J025,2025,Tecnico Universitario,Independiente del Valle,1,2,
J025,2024,Independiente del Valle,Tecnico Universitario,1,0,
J025,2024,Tecnico Universitario,Independiente del Valle,1,1,
J025,2023,Tecnico Universitario,Independiente del Valle,2,2,
J026,2025,Barcelona,Universidad Catolica,1,1,
J026,2025,Universidad Catolica,Barcelona,1,1,
J026,2025,Barcelona,Universidad Catolica,2,3,
J026,2025,Universidad Catolica,Barcelona,2,2,
J026,2024,Barcelona,Universidad Catolica,1,0,
J027,2025,Emelec,Mushuc Runa,1,0,
J027,2025,Mushuc Runa,Emelec,1,1,
J027,2024,Mushuc Runa,Emelec,3,0,
J027,2024,Emelec,Mushuc Runa,0,0,
J027,2023,Emelec,Mushuc Runa,3,1,
J028,2025,Cincinnati,CF Montreal,3,0,
J028,2025,CF Montreal,Cincinnati,1,3,
J028,2025,Cincinnati,CF Montreal,1,0,
J028,2024,Cincinnati,CF Montreal,4,1,
J028,2024,CF Montreal,Cincinnati,2,1,
J029,2025,Inter Miami,New York City,5,1,
J029,2025,New York City,Inter Miami,0,4,
J029,2025,Inter Miami,New York City,2,2,
J029,2024,New York City,Inter Miami,1,1,
J029,2024,Inter Miami,New York City,1,1,
J030,2025,Minnesota,Seattle Sounders,4,3,Apos Penalti
J030,2025,Seattle Sounders,Minnesota,4,2,
J030,2025,Minnesota,Seattle Sounders,1,0,Apos Penalti
J030,2025,Minnesota,Seattle Sounders,1,0,
J030,2025,Seattle Sounders,Minnesota,2,3,
J031,2025,Los Angeles Galaxy,Portland Timbers,2,4,
J031,2025,Portland Timbers,Los Angeles Galaxy,1,1,
J031,2024,Portland Timbers,Los Angeles Galaxy,4,2,
J031,2024,Los Angeles Galaxy,Portland Timbers,3,2,
J031,2023,Los Angeles Galaxy,Portland Timbers,1,0,
J032,2025,San Diego FC,Real Salt Lake,1,3,
J032,2025,Real Salt Lake,San Diego FC,1,3,
J018,2021,Internacional,Chapecoense,5,2,
J018,2021,Chapecoense,Internacional,1,2,
J018,2019,Internacional,Chapecoense,1,0,
J018,2019,Chapecoense,Internacional,2,0,
J018,2018,Chapecoense,Internacional,2,1,
J019,2025,Vitoria,Mirassol,2,0,
J019,2025,Mirassol,Vitoria,1,1,
J019,2023,Vitoria,Mirassol,0,0,
J019,2023,Mirassol,Vitoria,2,0,
J019,2022,Mirassol,Vitoria,1,2,
J023,2025,Goias,America-MG,1,0,
J023,2025,America-MG,Goias,1,0,
J023,2024,America-MG,Goias,2,2,
J023,2024,Goias,America-MG,2,1,
J023,2023,Goias,America-MG,1,0,
J024,2023,Londrina,Novorizontino,0,1,
J024,2023,Novorizontino,Londrina,3,0,
J024,2022,Novorizontino,Londrina,0,1,
J024,2022,Londrina,Novorizontino,1,1,
J020,2023,Avai,Juventude,0,2,
J020,2023,Juventude,Avai,3,2,
J020,2022,Juventude,Avai,1,1,
J020,2022,Avai,Juventude,1,2,
J020,2021,Avai,Juventude,5,2,
J021,2022,Criciuma,Nautico,2,1,
J021,2022,Nautico,Criciuma,1,1,
J021,2017,Criciuma,Nautico,0,0,
J021,2017,Nautico,Criciuma,1,2,
J021,2016,Nautico,Criciuma,0,1,
