Equipe,Jogos,Vitórias,Empates,Derrotas,Esc_HT_Pro_Total,Esc_HT_Contra_Total,Esc_HT_Pro_Média,Esc_HT_Contra_Média,Esc_2T_Pro_Total,Esc_2T_Contra_Total,Esc_2T_Pro_Média,Esc_2T_Contra_Média,Esc_FT_Pro_Total,Esc_FT_Contra_Total,Esc_FT_Pro_Média,Esc_FT_Contra_Média,Esc_FT_Pro_Casa,Esc_FT_Contra_Casa,Esc_FT_Pro_Fora,Esc_FT_Contra_Fora,Saldo_Esc_HT,Saldo_Esc_FT
Athletico-PR,9,5,1,3,21,18,2.33,2.0,17,27,1.89,3.0,38,45,4.22,5.0,28,20,10,25,3,-7
Atlético-MG,9,3,2,4,16,20,1.78,2.22,31,33,3.44,3.67,47,53,5.22,5.89,17,27,30,26,-4,-6
Bahia,8,5,2,1,28,18,3.5,2.25,15,21,1.88,2.62,43,39,5.38,4.88,23,15,20,24,10,4
Botafogo,8,3,0,5,7,18,0.88,2.25,17,27,2.12,3.38,24,45,3.0,5.62,7,19,17,26,-11,-21
Chapecoense,8,1,4,3,8,37,1.0,4.62,26,23,3.25,2.88,34,60,4.25,7.5,24,31,10,29,-29,-26
Corinthians,9,2,4,3,14,22,1.56,2.44,30,26,3.33,2.89,44,48,4.89,5.33,21,17,23,31,-8,-4
Coritiba,9,4,2,3,10,23,1.11,2.56,20,39,2.22,4.33,30,62,3.33,6.89,11,22,19,40,-13,-32
Cruzeiro,9,1,4,4,22,17,2.44,1.89,31,18,3.44,2.0,53,35,5.89,3.89,33,15,20,20,5,18
Flamengo,8,4,2,2,16,18,2.0,2.25,18,18,2.25,2.25,34,36,4.25,4.5,15,12,19,24,-2,-2
Fluminense,9,6,1,2,29,13,3.22,1.44,20,28,2.22,3.11,49,41,5.44,4.56,25,19,24,22,16,8
Grêmio,9,3,2,4,22,11,2.44,1.22,14,23,1.56,2.56,36,34,4.0,3.78,18,16,18,18,11,2
Internacional,9,2,3,4,37,20,4.11,2.22,42,17,4.67,1.89,79,37,8.78,4.11,42,21,37,16,17,42
Mirassol,8,1,3,4,16,13,2.0,1.62,32,13,4.0,1.62,48,26,6.0,3.25,27,14,21,12,3,22
Palmeiras,9,7,1,1,23,26,2.56,2.89,21,36,2.33,4.0,44,62,4.89,6.89,27,22,17,40,-3,-18
Red Bull Bragantino,9,3,2,4,21,15,2.33,1.67,32,34,3.56,3.78,53,49,5.89,5.44,32,34,21,15,6,4
Remo,9,1,3,5,19,30,2.11,3.33,21,27,2.33,3.0,40,57,4.44,6.33,22,29,18,28,-11,-17
Santos,9,2,4,3,31,20,3.44,2.22,18,25,2.0,2.78,49,45,5.44,5.0,26,24,23,21,11,4
São Paulo,9,5,2,2,22,21,2.44,2.33,31,17,3.44,1.89,53,38,5.89,4.22,26,16,27,22,1,15
Vasco,9,3,3,3,28,20,3.11,2.22,23,14,2.56,1.56,51,34,5.67,3.78,36,16,15,18,8,17
Vitória,8,3,1,4,12,22,1.5,2.75,25,18,3.12,2.25,37,40,4.62,5.0,19,18,18,22,-10,-3
